CORSA CADENZA,,,704,790,710,744,784,732,718,780,766
,,,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB
BT701,Busto G.,Via Curiel,06:30,07:30,08:30,09:30,11:40,12:35,13:35,15:10,16:45
BT702,Busto G.,Via Don Longoni ang.v.Cellini,06:31,07:31,08:31,09:31,11:41,12:36,13:36,15:11,16:46
BT947,Busto G.,Via Buonarroti civ 3,06:33,07:33,08:33,09:33,11:43,12:38,13:38,15:13,16:48
BT951,Busto G.,Via per Busto A. n. 90 (piscina),06:35,07:35,08:35,09:35,11:45,12:40,13:40,15:15,16:50
DG099,DAIRAGO,Via Verdi n.13,06:38,07:38,08:38,09:38,11:48,12:43,13:43,15:18,16:53
DG141,DAIRAGO,Via Damiano Chiesa MUNICIPIO,06:39,07:39,08:39,09:39,11:49,12:44,13:44,15:19,16:54
BS451,BUSTO ARSIZIO,Via Boccaccio n.101 fr V.Lodi,06:46,07:45,08:45,09:45,11:55,12:50,13:51,15:25,17:00
BS455,BUSTO ARSIZIO,V.le Boccaccio ang.V.Ferrini,06:47,07:47,08:46,09:46,11:56,12:51,13:52,15:26,17:01
BS452,BUSTO ARSIZIO,Via Ugo Foscolo fr Civ. 8,06:50,07:50,08:50,09:50,12:00,12:55,13:55,15:30,17:05
BS011,BUSTO ARSIZIO,P.zza Trento e Trieste,06:53,07:53,08:53,09:53,12:03,12:58,13:58,15:33,17:08
BS001,BUSTO ARSIZIO,Via XX Settembre a.V.Marconi,06:57,07:57,08:57,09:57,12:07,13:02,14:02,15:37,17:12
BS090,BUSTO ARSIZIO,Piazza Volontari della Liberta'FS,07:00,08:00,09:00,10:00,12:10,13:05,14:06,15:40,17:15
