CORSA ,,,102,502,104,706,108,106,110,128,516,112,142,116,506,124,114
CADENZA,,,SC5,SC5,FR5,SAB,FR5,SC5,FR5,FR5,SC5,SC5,SC5,SC5,SC5,SC5,SC5
MG888,Magenta,Via Tobagi (dep.ATINOM),,,06:30,,,,,,,12:08,12:48,,,,
MG756,Magenta,Via Leopardi IPER,,,06:35,,,,,,,12:13,12:53,,,,
MG306,Magenta,Via Novara n.95,,,06:37,07:53,07:55,08:05,,,,12:15,12:55,13:15,13:45,14:15,15:15
MG501,Magenta,Via Novara n. 15,,,06:38,07:54,07:56,08:06,,,,12:16,12:56,13:16,13:46,14:16,15:16
MG561,Magenta,Via Brocca n.41 zona STAZIONE,,,06:40,07:56,07:58,08:08,,,,12:18,12:58,13:18,13:48,14:18,15:18
MG502,Magenta,Via Cavallari n. 28,,,06:41,07:58,08:00,08:10,,,,12:19,12:59,13:19,13:49,14:19,15:19
MG402,Magenta,V.Tragella AUTOS.dir.V.Milano,,,06:43,08:01,08:03,08:13,10:05,10:45,,12:21,13:01,13:21,13:51,14:21,15:21
MG871,Magenta,Via Milano 101,,,06:45,08:02,08:04,08:14,10:07,10:47,,12:23,13:03,13:23,13:53,14:23,15:23
CB088,CORBETTA,P.zza XXV Aprile n. 10,,,06:48,,,,10:10,10:50,,12:27,13:07,13:27,13:57,14:27,15:27
CB053,CORBETTA,V.le Borletti STAB.Magneti Marelli,,,06:51,08:04,08:06,08:16,10:13,10:53,,12:31,13:11,13:31,14:01,14:31,15:31
TI211,S.Stefano T.,"V.le DElla Stazione civ.5 ""FS""",,,06:53,08:05,08:07,08:17,10:15,10:55,,12:33,13:13,13:33,14:03,14:33,15:33
TI333,S.Stefano T.,Via Repubblica n. 26,,,06:55,08:06,08:08,08:18,10:17,10:57,,12:35,13:15,13:35,14:05,14:35,15:35
AL028,ARLUNO,Via Mazzini a.V.Don Sturzo,,,07:00,08:09,08:11,08:21,10:22,11:02,,12:41,13:21,13:41,14:11,14:41,15:41
AL201,ARLUNO,Via Mazzini n. 7,,06:48,07:03,08:11,08:13,08:23,10:24,11:04,,12:43,13:23,13:43,14:13,14:43,15:43
AL196,ARLUNO,Via Marconi n.118,,06:51,07:06,08:13,08:15,08:25,10:26,11:06,,12:46,13:26,13:46,14:16,14:46,15:46
OS011,OSSONA,Via Patrioti n.4,,06:56,07:11,08:18,08:20,08:30,10:31,11:11,,12:51,13:31,13:51,,14:51,15:51
CZ093,CASOREZZO,Via E.Mattei fr.Civ.1,,07:00,07:15,08:21,08:23,08:33,10:35,11:15,,12:55,13:35,13:55,,14:55,15:55
CZ094,CASOREZZO,Via Arluno ang.V.Delle Chiuse,,07:03,07:18,08:23,08:25,08:35,10:38,11:18,,12:57,13:37,13:57,,14:57,15:57
CZ080,CASOREZZO,Via Bertani n. fronte civ 19,,07:06,07:21,08:25,08:27,08:37,10:40,11:20,,13:00,13:40,14:00,,15:00,16:00
BT215,Busto G.,Via Parabiago n. 61,,07:09,07:24,08:29,08:31,08:41,10:43,11:23,,13:04,13:44,14:04,,15:04,16:04
BT300,Busto G.,Via Matteotti 5,,07:10,07:25,08:30,08:32,08:42,10:44,11:24,,13:05,13:45,14:05,,15:05,16:05
BT776,Busto G.,Via Vincenzo Bellini civ.44,,07:11,07:26,08:31,08:33,08:43,10:45,11:25,,13:06,13:46,14:06,,15:06,16:06
BT956,Busto G.,V.Montebianco fr Civ.17,06:00,07:15,07:30,08:33,08:35,08:45,10:47,11:27,12:50,13:08,13:48,14:08,,15:08,16:08
BT703,Busto G.,Via Buonarroti a.v.Carroccio,06:01,07:17,07:32,,08:36,,10:48,11:28,12:52,13:09,13:49,14:09,,15:09,16:09
BT704,Busto G.,Via Curiel a.v.De Amicis,06:02,07:19,07:34,,08:38,,10:50,11:30,12:54,13:12,13:52,14:12,,15:12,16:12
VC050,Villa C.,Via A.Da Giussano n.32,06:04,07:23,07:38,,,,,,12:58,13:15,13:55,,,15:15,
VC051,Villa C.,Via A.Da Giussano n.50,06:06,07:25,07:40,,,,,,13:00,13:17,13:57,,,15:17,
SG050,S.Giorgio,Via Restelli Civ. 5,06:10,07:33,07:48,,,,,,13:08,13:22,14:04,,,15:22,
LG611,LEGNANO,V.XX Settembre a.V.S.Bernardino,06:14,07:37,,,,,,,,13:25,,,,15:25,
LG805,LEGNANO,V.XX Settembre civ.7 (poste),06:15,07:38,,,,,,,,13:26,,,,15:26,
LG112,LEGNANO,V.Guerciotti a.V.Gorizia LICEO,,,07:55,,,,,,13:13,,14:11,,,,
LG508,LEGNANO,Via Milano a.v.S.Caterina,,,08:01,,,,,,,,,,,,
LG090,LEGNANO,Piazza del Popolo FS,06:16,07:40,,,,,,,,13:28,,,,15:28,
LG003,LEGNANO,Largo Tosi (lato banca),06:19,07:43,,,,,,,,13:33,,,,15:33,
LG002,LEGNANO,C.so Sempione Loc Madonnina,06:21,,,,,,,,,,,,,,
LG001,LEGNANO,C.so Sempione OSPEDALE VECCHIO,06:23,,08:05,,,,,,,,,,,,
