CORSA ,,,401,403,405,407,409,413,415,821,417,471,477,473,419,475,421,425,429,481,431,443,433,483,435,485,437,487,439,441,489
CADENZA,,,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB
MD001,MILANO,MM Molino Dorino,06:30,07:00,07:25,07:45,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,20:00,21:00
VH238,VIGHIGNOLO,Via Mereghetti n.7,06:35,07:05,07:30,07:50,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,20:05,21:05
CD166,CORNAREDO,Via Mazzini ang.v.Brera,06:38,07:08,07:33,07:53,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:38,19:08,20:08,21:08
CD155,CORNAREDO,Via San Carlo ang.V.Ponti,06:40,07:10,07:35,07:55,08:10,08:40,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,19:10,20:10,21:10
PG055,Pregnana,Via ROMA n.17 ang.v.OLIVETTI,06:44,07:14,07:39,07:59,08:14,08:44,09:14,09:44,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,20:14,21:14
PG030,Pregnana,V.Roma ang.v.Puccini,06:45,07:15,07:40,08:00,08:15,08:45,09:15,09:45,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,20:15,21:15
PG099,Pregnana,Via Giovanni XXIII ang.v.Torino,06:47,07:17,07:42,08:02,08:17,08:47,09:17,09:47,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:18,14:48,15:18,15:48,16:18,16:48,17:18,17:48,18:18,18:48,19:18,20:17,21:17
PG101,Pregnana,V.Marconi Fr.Civ.67 STAZIONE FS,06:48,07:18,07:43,08:03,08:18,08:48,09:18,09:48,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,20:18,21:18
MN015,Mantegazza,Via Madonnina BIVIO,06:52,07:22,07:47,08:07,08:22,08:52,09:22,09:52,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:23,14:53,15:23,15:53,16:23,16:53,17:23,17:53,18:23,18:53,19:23,20:22,21:22
RG011,Rogorotto,V.Santa Caterina n.4,06:54,07:24,07:49,08:09,08:24,08:54,09:24,09:54,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,20:24,21:24
AL050,ARLUNO,Via Turati FR.58,06:57,07:27,07:52,08:12,08:27,08:57,09:27,09:57,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:28,15:58,16:28,16:58,17:28,17:58,18:28,18:58,19:28,20:27,21:27
AL195,ARLUNO,P.zza A.De Gasperi MUNICIPIO,06:58,07:28,07:53,08:13,08:28,08:58,09:28,09:58,10:29,10:59,11:29,11:59,12:29,12:59,13:29,13:59,14:29,14:59,15:29,15:59,16:29,16:59,17:29,17:59,18:29,18:59,19:29,20:28,21:28
AL802,ARLUNO,Via ADUA ang. Giovanni XXIII,07:04,07:34,07:59,08:19,08:34,09:04,09:34,10:04,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:32,21:32
OS011,OSSONA,Via Patrioti n.4,07:08,07:38,08:03,08:23,08:38,09:08,09:38,10:08,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:36,21:36
CZ093,CASOREZZO,Via E.Mattei fr.Civ.1,07:10,07:40,08:05,08:25,08:40,09:10,09:40,10:10,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11,17:41,18:11,18:41,19:11,19:41,20:38,21:38
CZ094,CASOREZZO,Via Arluno ang.V.Delle Chiuse,07:12,07:42,08:07,08:27,08:42,09:12,09:42,10:12,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:43,15:13,15:43,16:13,16:43,17:13,17:43,18:13,18:43,19:13,19:43,20:40,21:40
CZ080,CASOREZZO,Via Bertani n. fronte civ 19,07:14,07:44,08:09,08:29,08:44,09:14,09:44,10:14,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:42,21:42
BT215,Busto G.,Via Parabiago n. 61,07:17,07:47,08:12,08:32,08:47,09:17,09:47,10:17,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:18,14:48,15:18,15:48,16:18,16:48,17:18,17:48,18:18,18:48,19:18,19:48,20:45,21:45
BT300,Busto G.,Via Matteotti 5,07:18,07:48,08:13,08:33,08:48,09:18,09:48,10:18,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:46,21:46
BT776,Busto G.,Via Vincenzo Bellini civ.44,07:21,07:51,08:16,08:36,08:51,09:21,09:51,10:21,10:52,11:22,11:52,12:22,12:52,13:22,13:52,14:22,14:52,15:22,15:52,16:22,16:52,17:22,17:52,18:22,18:52,19:22,19:52,20:49,21:49
BT956,Busto G.,V.Montebianco fr Civ.17,07:23,07:53,08:18,08:38,08:53,09:23,09:53,10:23,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:54,19:24,19:54,20:51,21:51
BT951,Busto G.,Via per Busto A. n. 90 (piscina),07:24,07:54,08:19,08:39,08:54,09:24,09:54,10:24,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:52,21:52
BT999,Busto G.,V.Busto A. n.131 (deposito),07:26,07:56,08:21,08:41,08:56,09:26,09:56,10:26,10:57,11:27,11:57,12:27,12:57,13:27,13:57,14:27,14:57,15:27,15:57,16:27,16:57,17:27,17:57,18:27,18:57,19:27,19:57,20:53,21:53
