CORSA ,,,289,291,149,407,101,409,103,419,105,405,107,473,109,159,113,193,111,195,131,177,123,413,429,415,425,127,129,481,417,191,161,477,135,153,137,139,141,143,145,147,151,
CADENZA,,,FR5,FR5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,SC5,SC5,FR5,FR5,SC5,SC5,FR5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
LG171,LEGNANO,C.so Sempione OSPEDALE VECCHIO,,,,,06:25,06:45,07:00,,07:30,07:55,08:00,08:00,,,,,0,0,0,0,0,0,13:10,0,13:15,0,0,14:10,0,0,0,0,,,,,,,,,,
LG172,LEGNANO,C.so Sempione Loc.Madonnina,,,,,06:27,06:47,07:02,,07:32,07:58,08:02,08:03,,,,,0,0,0,0,0,0,13:12,0,13:17,0,0,14:12,0,0,0,0,,,,,,,,,,
LG173,LEGNANO,Largo Tosi (lato portici),,,,,06:28,06:48,07:03,07:10,07:33,07:59,08:04,08:04,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,0,13:14,13:15,13:19,13:35,14:10,14:14,14:26,14:35,15:00,15:30,15:35,16:10,16:35,17:35,18:05,18:35,19:05,19:35,20:05,
LG990,LEGNANO,Piazza Monumento FS ang.XXIX Maggio,,,,,06:30,06:50,07:05,07:13,07:35,08:02,08:06,08:07,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,0,13:16,13:17,13:21,13:37,14:12,14:16,14:28,14:37,15:02,15:32,15:37,16:12,16:37,17:37,18:07,18:37,19:07,19:37,20:07,
LG091,LEGNANO,Piazza del Popolo Fs ang. via C.Colombo,,,,,06:32,06:51,07:06,07:14,07:36,08:03,08:07,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,0,13:17,13:18,13:22,13:38,14:13,14:17,14:29,14:38,15:03,15:33,15:38,16:13,16:38,17:38,18:08,18:38,19:08,19:38,20:08,
LG807,LEGNANO,V.XX Settembre (P.Vittorio Veneto),,,,,06:33,06:53,07:08,07:15,07:38,08:05,08:09,08:10,08:40,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,0,13:19,13:20,13:24,13:40,14:15,14:19,14:31,14:40,15:05,15:35,15:40,16:15,16:40,17:40,18:10,18:40,19:10,19:39,20:09,
LG061,LEGNANO,Via XX Settembre ang.S.Bernardino,,,,,06:35,06:55,07:10,07:16,07:40,08:07,08:11,08:12,08:42,09:12,09:42,10:12,10:42,11:12,11:42,12:12,12:42,0,13:21,13:22,13:26,13:42,14:17,14:21,14:33,14:42,15:07,15:37,15:42,16:17,16:42,17:42,18:12,18:42,19:12,19:40,20:10,
LG025,LEGNANO,V.XX Settembre (SAN GIORGIO S.L),,,,,06:37,06:57,07:12,07:18,07:42,08:09,08:13,,08:44,09:14,09:44,10:14,10:44,11:14,11:44,12:14,12:44,0,13:23,13:24,13:28,13:44,14:19,14:23,14:35,14:44,15:09,15:39,15:44,16:19,16:44,17:44,18:14,18:44,19:14,19:42,20:12,
SG001,S.Giorgio,Localita'La Pergola V.XX Settembre,,,,,06:39,06:59,07:14,07:19,07:44,08:11,08:15,,08:45,09:15,09:45,10:16,10:46,11:16,11:46,12:16,12:45,0,13:24,13:25,13:29,13:45,14:20,14:24,14:36,14:45,15:10,15:40,15:46,16:21,16:46,17:45,18:15,18:45,19:15,19:43,20:13,
SG807,S.Giorgio,Via Roma (fronte V.L.Da Vinci),,,,,06:41,07:00,07:15,07:21,07:45,08:12,08:16,,08:46,09:16,09:46,10:17,10:47,11:17,11:47,12:17,12:46,0,13:25,13:26,13:30,13:46,14:21,14:25,14:37,14:46,15:11,15:41,15:47,16:22,16:47,17:46,18:16,18:46,19:16,19:44,20:14,
