CORSA ,,,317,301,303,305,309,359,313,361,311,377,323,327,391,335,337,339,381,343,347
CADENZA,,,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB
LG171,LEGNANO,C.so Sempione OSPEDALE VECCHIO,,,07:00,07:30,,,,,,,,,,,,,,,
LG172,LEGNANO,C.so Sempione Loc.Madonnina,,,07:02,07:32,,,,,,,,,,,,,,,
LG173,LEGNANO,Largo Tosi (lato portici),,,07:03,07:33,08:35,09:05,09:35,10:05,10:35,11:35,12:35,13:30,14:35,15:35,16:35,17:35,18:05,18:35,19:35
LG990,LEGNANO,Piazza Monumento FS ang.XXIX Maggio,,,07:05,07:35,08:37,09:07,09:37,10:07,10:37,11:37,12:37,13:32,14:37,15:37,16:37,17:37,18:07,18:37,19:37
LG091,LEGNANO,Piazza del Popolo Fs ang. via C.Colombo,,,07:06,07:36,08:38,09:08,09:38,10:08,10:38,11:38,12:38,13:33,14:38,15:38,16:38,17:38,18:08,18:38,19:38
LG807,LEGNANO,V.XX Settembre (P.Vittorio Veneto),,,07:08,07:38,08:40,09:10,09:40,10:10,10:40,11:40,12:40,13:35,14:40,15:40,16:40,17:40,18:10,18:40,19:40
LG061,LEGNANO,Via XX Settembre ang.S.Bernardino,,,07:10,07:40,08:42,09:12,09:42,10:12,10:42,11:42,12:42,13:37,14:42,15:42,16:42,17:42,18:12,18:42,19:41
LG025,LEGNANO,V.XX Settembre (SAN GIORGIO S.L),,,07:12,07:42,08:44,09:14,09:44,10:14,10:44,11:44,12:44,13:39,14:44,15:44,16:44,17:44,18:14,18:44,19:43
SG001,S.Giorgio,Localita'La Pergola V.XX Settembre,,,07:14,07:44,08:46,09:16,09:46,10:16,10:46,11:46,12:45,13:40,14:45,15:45,16:45,17:45,18:15,18:45,19:44
SG807,S.Giorgio,Via Roma (fronte V.L.Da Vinci),,,07:15,07:45,08:47,09:17,09:47,10:17,10:47,11:47,12:46,13:41,14:46,15:46,16:46,17:46,18:16,18:46,19:45
SG182,S.Giorgio,Via Roma n.3 ang.V.Acquedotto,,,07:16,07:46,08:48,09:18,09:48,10:18,10:48,11:48,12:47,13:42,14:47,15:47,16:47,17:47,18:17,18:47,19:46
VC005,Villa C.,Via Canova ang.V.Buonarroti,,,07:19,07:49,08:51,09:21,09:51,10:21,10:51,11:51,12:50,13:45,14:50,15:50,16:50,17:50,18:20,18:50,19:48
