CORSA ,,,102,410,104,490,106,108,402,406,404,110,408,112,926,426,114,116,118,192,122,196,120,482,488,130,492,132,412,134,136,414,138,416,414,140,142,144,146,148,150,152,290,156,
CADENZA,,,FR5,SC5,FR5,SC5,FR5,FR5,SC5,SC5,SC5,FR5,SC5,FR5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,SC5,FR5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
CT100,Castano P.,AUSTOSTAZIONE bus - STAZIONE Ferroviaria,,,,,,,,,,,07:15,,,08:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT050,Castano P.,Via Tadini n.16,,,,,,,,,,,07:18,,,08:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT027,Castano P.,Per Buscate fr. S. Nitti,,,,,,,,,,,07:19,,,08:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT001,Castano P.,P.le Don Milani OMN. IST.TORNO,,,,,,,,,,,,,08:20,,,,0,0,0,0,0,0,0,0,0,0,13:20,0,0,14:20,0,14:25,14:20,,,,,,,,,,
BC802,BUSCATE,S.P.34 Fronte Civ.28,,,,,,,,,,,07:23,,08:24,08:16,,,0,0,0,0,0,0,0,0,0,0,13:23,0,0,14:23,0,14:28,14:23,,,,,,,,,,
BC211,BUSCATE,Via Milano n.26,,,,,,,,,,,07:24,,08:25,08:17,,,0,0,0,0,0,0,0,0,0,0,13:25,0,0,14:25,0,14:30,14:25,,,,,,,,,,
CG999,CUGGIONO,V.IV Novembre v.XI Sett. dir MI,,,,,,,,,,,07:29,,,08:22,,,0,0,0,0,0,0,0,0,0,0,13:29,0,0,14:29,0,14:34,14:29,,,,,,,,,,
CG149,CUGGIONO,Via San Rocco n. 89,,,,,,,,,,,07:31,,,08:24,,,0,0,0,0,0,0,0,0,0,0,13:31,0,0,14:31,0,14:36,14:31,,,,,,,,,,
CG143,CUGGIONO,Piazza Della Vittoria fr Civ. 12,,,06:00,,06:25,06:45,06:55,,,07:25,07:33,08:05,,08:26,08:35,09:05,09:35,10:05,0,11:05,11:35,12:10,0,12:30,0,13:05,13:33,13:35,14:00,14:33,14:35,14:38,14:33,15:10,15:35,16:35,0,17:35,0,18:35,19:05,19:35,
