CORSA CADENZA,,,711,701,751,741,799,713,763,747,771
,,,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB
BS090,BUSTO ARSIZIO,Piazza Volontari della Liberta'FS,07:05,08:05,09:05,10:05,12:15,13:10,14:10,15:45,17:20
BS003,BUSTO ARSIZIO,Via Crespi ang. P.Trento e T.,07:11,08:11,09:11,10:11,12:19,13:16,14:16,15:49,17:24
BS027,BUSTO ARSIZIO,V.le Cadorna ang.V.Piemonte,07:16,08:16,09:15,10:15,12:25,13:20,14:21,15:53,17:28
BS456,BUSTO ARSIZIO,V.le Boccaccio ang.v.ferrini,07:20,08:20,09:18,10:18,12:28,13:24,14:25,15:57,17:32
BS087,BUSTO ARSIZIO,Viale Boccaccio,07:24,08:24,09:21,10:21,12:31,13:27,14:29,16:00,17:35
DG142,DAIRAGO,V. Damiano Chiesa civ.11,07:30,08:30,09:27,10:27,12:37,13:33,14:35,16:08,17:43
DG097,DAIRAGO,Via Verdi n.24,07:31,08:31,09:28,10:28,12:38,13:34,14:36,16:09,17:44
BT949,Busto G.,Via Per Busto A n. 91 (piscina),07:34,08:34,09:31,10:31,12:41,13:37,14:39,16:12,17:47
BT301,Busto G.,Via Buonarroti ang.v.Busto A.,07:36,08:36,09:33,10:33,12:43,13:40,14:42,16:14,17:49
BT703,Busto G.,Via Buonarroti a.v.Carroccio,07:37,08:37,09:34,10:34,12:44,13:41,14:43,16:15,17:50
BT704,Busto G.,Via Curiel a.v.De Amicis,07:39,08:39,09:36,10:36,12:46,13:43,14:45,16:17,17:52
