CORSA ,,,103,101,703,107,109,129,503,123,507,115,141,217,119
CADENZA,,,FR5,SC5,SAB,FR5,FR5,FR5,SC5,SC5,SC5,SC5,SC5,SC5,SC5
LG112,LEGNANO,V.Guerciotti a.V.Gorizia LICEO,,,,,,,,,13:15,,,14:15,
LG171,LEGNANO,C.so Sempione OSPEDALE VECCHIO,,06:25,,08:10,,,,,,,,,
LG172,LEGNANO,C.so Sempione Loc.Madonnina,,06:26,,08:11,,,,,,,,,
LG173,LEGNANO,Largo Tosi (lato portici),,06:28,,08:13,,,,,13:20,13:40,,14:20,15:40
LG990,LEGNANO,Piazza Monumento FS ang.XXIX Maggio,,06:31,,08:17,,,,,13:24,13:44,,14:24,15:44
LG091,LEGNANO,Piazza del Popolo Fs ang. via C.Colombo,,06:32,,08:18,,,,,13:25,13:45,,14:25,15:45
LG807,LEGNANO,V.XX Settembre (P.Vittorio Veneto),,06:33,,08:19,,,,,13:26,13:46,,14:26,15:46
LG061,LEGNANO,Via XX Settembre ang.S.Bernardino,,06:34,,08:20,,,,,13:27,13:47,,14:27,15:47
LG025,LEGNANO,V.XX Settembre (SAN GIORGIO S.L),,06:36,,08:22,,,,,13:29,13:49,,14:29,15:49
SG001,S.Giorgio,Localita'La Pergola V.XX Settembre,,06:38,,08:24,,,,,13:31,13:51,,14:31,15:51
SG182,S.Giorgio,Via Roma n.3 ang.V.Acquedotto,,06:40,,08:26,,,,,13:33,13:53,,14:33,15:53
VC005,Villa C.,Via Canova ang.V.Buonarroti,,06:42,,08:29,,,,13:11,13:36,13:56,14:05,14:36,15:56
VC006,Villa C.,Via Canova ang.V.Perugino,,06:44,,08:31,,,,13:12,13:38,13:58,14:07,14:38,15:57
BT701,Busto G.,Via Curiel,06:44,06:46,06:48,08:33,09:15,09:55,12:18,13:14,13:40,14:00,14:09,14:40,15:59
BT702,Busto G.,Via Don Longoni ang.v.Cellini,06:45,06:47,06:49,08:35,09:16,09:56,12:19,13:15,13:41,14:01,14:10,14:41,16:00
BT947,Busto G.,Via Buonarroti civ 3,06:47,06:49,06:51,08:37,09:18,09:58,12:21,13:17,13:43,14:03,14:12,14:43,16:02
BT775,Busto G.,Via Giacomo Rossini civ.35,06:49,06:51,06:53,08:39,09:20,10:00,12:23,13:19,13:45,14:05,14:14,14:45,16:04
BT400,Busto G.,Via Matteotti 6,06:51,06:53,06:55,08:40,09:21,10:01,12:24,13:20,13:46,14:06,14:15,14:46,16:05
BT211,Busto G.,Via Parabiago n.32,06:52,06:54,06:56,08:41,09:22,10:02,12:25,13:21,13:47,14:07,14:16,14:47,16:06
CZ010,CASOREZZO,Via Busto Gar n. ang.V.S.Salvatore,06:56,06:58,07:00,08:45,09:26,10:06,12:29,13:25,13:51,14:11,14:20,14:51,16:10
CZ088,CASOREZZO,Via Bertani ang.V.Parabiago,06:58,07:00,07:02,08:46,09:27,10:07,12:30,13:26,13:52,14:12,14:21,14:52,16:11
CZ070,CASOREZZO,Via Ossona n. LATO AREA ZUCCHI,07:00,07:02,07:04,08:48,09:31,10:11,12:34,13:28,13:54,14:14,14:23,14:54,16:13
OS001,OSSONA,Via Patriotti fr Civ. 118 A,07:03,07:05,07:07,08:51,09:32,10:12,12:35,13:31,13:57,14:17,14:26,14:57,16:16
AL040,ARLUNO,Via Giovanni XXIII n.43,07:09,07:11,07:11,08:56,09:37,10:17,12:40,13:36,14:02,14:22,14:31,15:02,16:21
AL501,ARLUNO,Piazza Pozzo Bonelli fr Chiesa,07:11,07:13,07:13,08:58,09:39,10:19,12:42,13:38,14:04,14:24,14:33,15:04,16:23
AL029,ARLUNO,Via Mazzini n.6,07:13,07:15,07:15,09:00,09:41,10:21,12:44,13:40,14:06,14:26,14:35,15:06,16:25
TI033,S.Stefano T.,Via Repubblica fr.Civ.28,07:22,07:24,07:24,09:09,09:50,10:30,12:53,13:49,14:15,14:35,14:44,,
TI111,S.Stefano T.,"V.le Della Stazione civ.10 ""FS""",07:25,07:26,07:27,09:11,09:52,10:32,12:55,13:51,14:17,14:37,14:46,,
CB080,CORBETTA,V.le Borletti STAB. Magneti Marelli,07:27,07:29,07:29,09:13,09:54,10:34,12:57,13:53,14:19,14:39,14:48,,
CB111,CORBETTA,P.zza XXV Aprile n. 4,07:31,07:33,07:33,09:17,09:58,10:38,,13:57,14:23,14:43,14:52,,
MG701,Magenta,Via Milano 8,07:35,07:36,07:36,09:20,10:01,10:41,13:01,14:00,14:26,14:46,14:55,,
MG401,Magenta,V.Tragella AUTOS.dir.V.Rossini,07:37,07:39,07:38,09:22,10:03,10:43,13:03,14:02,14:28,14:48,14:57,,
MG801,Magenta,Via Cavallari n. 39,07:40,07:42,07:40,09:24,,,13:05,14:04,14:30,14:50,14:59,,
MG720,Magenta,V.Brocca fr Civ.49 STAZIONE,07:43,07:45,07:42,09:26,,,13:07,14:06,14:32,14:52,15:01,,
MG708,Magenta,Via Novara fr Civ.17,07:46,07:48,07:45,09:28,,,13:09,14:08,14:34,14:54,15:03,,
MG703,Magenta,Via Novara n. 14,07:49,07:50,07:47,09:30,,,13:11,14:10,14:36,14:56,15:05,,
MG704,Magenta,Via Leopardi IPER,,,,09:32,,,,,,14:58,,,
MG888,Magenta,Via Tobagi (dep.ATINOM),,,,09:37,,,,,,15:03,,,
