CORSA ,,,804,806,810,824
CADENZA,,,SIS,SIS,SIS,SIS
AC625,ARCONATE,Via Concordia n.9,06:50,07:20,08:35,15:45
AC627,ARCONATE,Via Legnano n. 28,06:52,07:22,08:37,15:47
BT205,Busto G.,Via Busto A. fr Civ.48,06:56,07:26,08:41,15:51
BT775,Busto G.,Via Giacomo Rossini civ.35,06:59,07:29,08:44,15:54
BT400,Busto G.,Via Matteotti 6,07:00,07:30,08:45,15:55
BT211,Busto G.,Via Parabiago n.32,07:01,07:31,08:46,15:56
PB701,PARABIAGO,Viale Lombardia FRONTE EuroSpin,07:10,07:42,08:54,16:04
PB090,PARABIAGO,autostazione PARK FS,,,08:56,16:06
PB100,PARABIAGO,Via Spagliardi PLESSO MAGGIOLINI,07:20,07:53,,
