CORSA CADENZA,,,301,303,305,307,309,393,315,317,517,329,319,339,333,321,323,325
,,,FI5,FI5,FI5,SC5,FI5,FI5,SC5,SC5,SC5,SC5,SC5,SC5,SC5,SC5,FI5,FI5
PB101,PARABIAGO,Via Spagliardi IST.MAGGIOLINI,,07:25,08:00,08:00,,,12:10,13:20,13:20,14:15,14:20,15:05,15:10,,,
PB090,PARABIAGO,autostazione PARK FS,06:55,,,,09:00,09:55,,,,,,,,15:40,16:15,16:35
PB702,PARABIAGO,Viale Lombardia lato EuroSpin,06:58,07:30,08:05,08:05,09:03,09:58,12:15,13:25,13:25,14:20,14:25,15:10,15:15,15:43,16:18,16:38
VC050,Villa C.,Via A.Da Giussano n.32,,,,,,,12:25,13:35,,,14:35,,15:25,,,
VC051,Villa C.,Via A.Da Giussano n.50,,,,,,,12:26,13:36,,,14:36,,15:26,,,
BT215,Busto G.,Via Parabiago n. 61,07:06,07:41,08:16,08:16,09:11,10:06,,,13:36,14:31,,15:21,,15:51,16:26,16:46
BT300,Busto G.,Via Matteotti 5,07:07,07:42,08:17,08:17,09:12,10:07,,,13:37,14:32,,15:22,,15:52,16:27,16:47
BT776,Busto G.,Via Vincenzo Bellini civ.44,07:09,07:44,08:19,08:19,09:14,10:09,,,13:39,14:34,,15:24,,15:54,16:29,16:49
BT701,Busto G.,Via Curiel,,,,,,,12:30,13:40,,,14:40,,15:30,,,
BT702,Busto G.,Via Don Longoni ang.v.Cellini,,,,,,,12:31,13:41,,,14:41,,15:31,,,
BT956,Busto G.,V.Montebianco fr Civ.17,07:11,07:48,08:23,08:23,09:16,10:11,,,13:41,14:36,,15:26,,15:56,16:31,16:51
BT947,Busto G.,Via Buonarroti civ 3,,,,,,,12:33,13:43,,,14:43,,15:33,,,
BT951,Busto G.,Via per Busto A. n. 90 (piscina),,,,,,,,,13:42,14:37,,15:27,,,,
BT999,Busto G.,V.Busto A. n.131 (deposito),,,,,,,,,13:44,14:39,,15:29,,,,
DG099,DAIRAGO,Via Verdi n.13,,,,,,,,,13:48,14:43,,15:33,,,,
DG141,DAIRAGO,Via Damiano Chiesa MUNICIPIO,,,,,,,,,13:49,14:44,,15:34,,,,
AC628,ARCONATE,Via Legnano n. 11,07:16,07:53,08:28,,09:21,10:16,12:41,13:51,,,14:51,,15:41,16:01,16:36,16:56
AC035,ARCONATE,Via Concordia fr Civ.13,07:18,07:55,08:30,,09:23,10:18,12:43,13:53,,,14:53,,15:43,16:03,16:38,16:58
