CORSA ,,,402,404,406,408,410,414,416,488,418,480,490,482,420,484,422,426,430,412,432,424,434,486,436,492,438,494,440,450,496
CADENZA,,,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB
BT999,Busto G.,V.Busto A. n.131 (deposito),05:30,06:00,06:25,06:45,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,19:00,20:00
BT949,Busto G.,Via Per Busto A n. 91 (piscina),05:32,06:02,06:27,06:47,07:02,07:32,08:02,08:32,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:32,16:02,16:32,17:02,17:32,18:02,19:02,20:02
BT205,Busto G.,Via Busto A. fr Civ.48,05:33,06:03,06:28,06:48,07:03,07:33,08:03,08:33,09:03,09:33,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:33,14:03,14:33,15:03,15:33,16:03,16:33,17:03,17:33,18:03,19:03,20:03
BT775,Busto G.,Via Giacomo Rossini civ.35,05:34,06:04,06:29,06:49,07:04,07:34,08:04,08:34,09:04,09:34,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:34,15:04,15:34,16:04,16:34,17:04,17:34,18:04,19:04,20:04
BT400,Busto G.,Via Matteotti 6,05:35,06:05,06:30,06:50,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,19:05,20:05
BT211,Busto G.,Via Parabiago n.32,05:37,06:07,06:32,06:52,07:07,07:37,08:07,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:07,19:07,20:07
CZ010,CASOREZZO,Via Busto Gar n. ang.V.S.Salvatore,05:39,06:09,06:34,06:54,07:09,07:39,08:09,08:39,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:39,18:09,19:09,20:09
CZ088,CASOREZZO,Via Bertani ang.V.Parabiago,05:41,06:11,06:36,06:56,07:11,07:41,08:11,08:41,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11,17:41,18:11,19:11,20:11
CZ070,CASOREZZO,Via Ossona n. LATO AREA ZUCCHI,05:43,06:13,06:38,06:58,07:13,07:43,08:14,08:43,09:13,09:43,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:43,15:13,15:43,16:13,16:43,17:13,17:43,18:13,19:13,20:13
